DIA,MES,ANNO,HR,TEMP
9,11,2018,96.88,31.93
9,11,2018,96.55,31.93
9,11,2018,96.15,31.93
9,11,2018,95.82,31.93
9,11,2018,95.47,31.93
9,11,2018,95.12,31.93
9,11,2018,94.75,31.93
9,11,2018,94.63,31.93
9,11,2018,94.53,31.93
9,11,2018,94.47,31.93
9,11,2018,94.43,31.93
9,11,2018,94.45,31.93
9,11,2018,94.52,31.93
9,11,2018,94.53,31.93
9,11,2018,94.57,31.93
9,11,2018,94.57,31.95
9,11,2018,94.63,31.95
9,11,2018,94.65,31.95
9,11,2018,94.63,31.95
9,11,2018,94.73,31.93
9,11,2018,94.82,31.93
9,11,2018,94.9,31.93
9,11,2018,95,31.93
9,11,2018,95.13,31.93
9,11,2018,95.15,31.93
9,11,2018,95.13,31.93
9,11,2018,95.13,31.93
9,11,2018,95.13,31.93
9,11,2018,95.12,31.93
9,11,2018,95.37,31.93
9,11,2018,95.62,31.93
9,11,2018,95.87,31.93
9,11,2018,96.15,31.93
9,11,2018,96.48,31.93
9,11,2018,96.82,31.93
9,11,2018,97.13,31.95
9,11,2018,97.45,31.95
9,11,2018,97.72,31.95
9,11,2018,97.82,31.95
9,11,2018,97.92,31.95
9,11,2018,98.05,31.95
9,11,2018,98.18,31.95
9,11,2018,98.32,31.95
9,11,2018,98.45,31.93
9,11,2018,98.58,31.93
9,11,2018,98.68,31.93
9,11,2018,98.77,31.93
9,11,2018,98.83,31.95
9,11,2018,98.88,31.95
9,11,2018,98.95,31.95
9,11,2018,99.07,31.95
9,11,2018,99.15,31.95
9,11,2018,99.28,31.95
9,11,2018,99.45,31.95
9,11,2018,99.65,31.95
9,11,2018,99.87,31.95
9,11,2018,100.08,31.95
9,11,2018,100.3,31.95
9,11,2018,100.5,31.95
9,11,2018,100.68,31.95
9,11,2018,100.95,31.95
9,11,2018,101.23,31.95
9,11,2018,101.53,31.95
9,11,2018,101.83,31.93
9,11,2018,102.15,31.93
9,11,2018,102.48,31.93
9,11,2018,102.85,31.93
9,11,2018,103.18,31.95
9,11,2018,103.55,31.95
9,11,2018,104.17,31.95
9,11,2018,104.78,31.95
9,11,2018,105.43,31.95
9,11,2018,106.08,31.95
9,11,2018,106.82,31.95
9,11,2018,107.62,31.95
9,11,2018,108.4,31.97
9,11,2018,109.13,31.97
9,11,2018,109.9,31.97
9,11,2018,110.7,31.97
9,11,2018,111.4,31.95
9,11,2018,112.08,31.95
9,11,2018,112.73,31.95
9,11,2018,113.35,31.95
9,11,2018,113.92,31.95
9,11,2018,114.6,31.95
9,11,2018,115.17,31.95
9,11,2018,115.73,31.95
9,11,2018,116.27,31.95
9,11,2018,116.8,31.95
9,11,2018,117.05,31.95
9,11,2018,117.28,31.95
9,11,2018,117.53,31.97
9,11,2018,117.78,31.97
9,11,2018,117.78,31.97
9,11,2018,117.8,31.97
9,11,2018,117.82,31.95
